B[T],H[A/m]
0.132124254,28.74233786
0.404145019,43.11376993
0.800518065,71.85610779
1.044041406,105.3890107
1.199481864,162.8742127
1.323834144,258.6826196
1.406735736,526.9461062
1.471502558,1015.568744
1.533678769,1897.005877
1.593264228,3008.383292
1.650259077,4522.155541
1.6968912,6064.670655
1.748704615,7717.364818
