B (tesla),P (w/kg),P (W/m^3)
0.099308867,0.070094384,536.2220376
0.10533931,0.080446379,615.4147994
0.111349113,0.09060913,693.1598445
0.163627193,0.200685112,1535.241107
0.198697696,0.294028091,2249.314896
0.233061157,0.39960557,3056.982611
0.262225369,0.500638346,3829.883347
0.288963788,0.592848254,4535.289143
0.297092418,0.623300561,4768.249292
0.317326301,0.697659973,5337.098793
0.342482682,0.800694937,6125.316268
0.367078562,0.901846332,6899.12444
0.400322219,1.054662088,8068.164973
0.496344412,1.516453816,11600.87169
0.596489007,2.048107395,15668.02157
0.69722592,2.664162028,20380.83951
0.747298332,3.000726363,22955.55668
0.800966699,3.337745449,25533.75268
0.901196109,4.129594862,31591.40069
1,4.982928953,38119.40649
1.510834468,11.82332637,90448.44673
