B (tesla),P (w/kg),P (W/m^3)
0.099308867,0.208367885,1594.01432
0.121012792,0.30148507,2306.360786
0.139985934,0.39960557,3056.982611
0.15641455,0.49751358,3805.978887
0.173563277,0.596571795,4563.774232
0.187322691,0.693305006,5303.783296
0.198697696,0.771172357,5899.468531
0.214449627,0.890622989,6813.265866
0.296063985,1.604361874,12273.36834
0.335430419,1.997449183,15280.48625
0.398936364,2.680896852,20508.86092
0.424631353,2.981995085,22812.2624
0.492913916,3.854745053,29488.79966
0.576158746,4.982928953,38119.40649
0.639326834,6.012590751,45996.31925
0.694812296,6.857498923,52459.86676
0.747298332,7.969437446,60966.19646
0.795430875,8.699547628,66551.53935
0.898076391,10.7634353,82340.28005
1.239862497,20.00578029,153044.2192
1.495198313,31.59801664,241724.8273
